week,games,bets,wins,losses,pushes,record,win_rate,profit,roi
6,49,29,12,15,2,12-15-2,44.44444444444444,-409.09090909090924,-14.106583072100317
7,52,25,9,15,1,9-15-1,37.5,-681.8181818181821,-27.27272727272728
8,59,40,22,17,1,22-17-1,56.41025641025641,300.0,7.5
9,56,35,16,18,1,16-18-1,47.05882352941176,-345.4545454545457,-9.870129870129878
10,48,29,14,15,0,14-15,48.275862068965516,-227.27272727272734,-7.8369905956112875
11,50,23,13,10,0,13-10,56.52173913043478,181.81818181818178,7.905138339920947
12,53,28,14,14,0,14-14,50.0,-127.27272727272748,-4.545454545454552
13,62,39,24,15,0,24-15,61.53846153846154,681.8181818181814,17.482517482517473
14,67,34,17,16,1,17-16-1,51.515151515151516,-54.54545454545479,-1.6042780748663172
15,9,3,1,2,0,1-2,33.33333333333333,-109.0909090909091,-36.36363636363637
16,1,1,1,0,0,1-0,100.0,90.9090909090909,90.9090909090909
