feature,mean_shap_high_error,mean_shap_overall,error_amplification
away_scoring_trend,0.17098634,0.09884074,1.7299175
home_ats,0.26875558,0.21199138,1.2677666
hfa_diff,0.8026771,0.6514958,1.2320526
home_streak,0.33163717,0.27110147,1.2232953
streak_diff,0.28491327,0.23384771,1.218371
home_last5_score_avg,0.32996902,0.2801831,1.1776906
large_underdog,0.02419455,0.0207701,1.164874
rest_favorite_interaction,0.054411337,0.0468678,1.1609535
home_team_hfa,1.256565,1.0920441,1.1506541
away_streak,0.1908685,0.1683988,1.1334314
rest_diff,0.012817412,0.01131222,1.1330589
expected_total,0.13968255,0.12332723,1.1326172
home_scoring_trend,0.25784943,0.23136726,1.1144594
momentum_strength,0.21790306,0.1993195,1.093235
ats_diff,0.16967827,0.15604097,1.0873957
home_last5_defense_avg,0.3317238,0.3093588,1.0722947
away_last5_score_avg,0.24621636,0.23309001,1.0563145
away_ats,0.10861486,0.10649039,1.0199499
home_comp_pass_ppa,0.10549681,0.108258754,0.97448754
home_comp_off_ppa,0.27716672,0.28657457,0.9671714
rest_spread_interaction,0.0655928,0.0689945,0.9506961
away_last5_defense_avg,0.46247825,0.48887685,0.9460015
elo_vs_spread,3.0990036,3.2959805,0.9402372
pass_efficiency_diff,0.47914237,0.52494615,0.9127458
away_comp_pass_ppa,0.1302103,0.14840391,0.87740475
away_short_rest,0.0015103155,0.0017218047,0.87716997
home_pass_rush_balance,0.051122442,0.05831518,0.87665755
away_comp_off_ppa,0.028820403,0.033137728,0.86971575
home_pregame_elo,0.037981063,0.04395998,0.86399186
away_comp_def_ppa,0.06729441,0.07932183,0.84837186
away_elo_momentum,0.024720527,0.030073496,0.8220038
elo_momentum_diff,0.033498395,0.04094868,0.81805795
away_pass_rush_balance,0.03783249,0.046676442,0.81052643
elo_diff,0.5520087,0.68995935,0.80005974
has_line_movement,0.017158603,0.021689285,0.7911097
close_game,0.026427142,0.03354921,0.7877129
line_movement,0.08688936,0.11501673,0.7554497
away_pregame_elo,0.03313587,0.04441405,0.7460672
large_favorite,0.34976766,0.47327745,0.739033
home_elo_momentum,0.01932642,0.026302794,0.73476684
home_comp_rush_ppa,0.10137876,0.14596349,0.6945488
elo_efficiency_interaction,0.15943192,0.23117252,0.6896664
home_comp_def_ppa,0.09988493,0.14678419,0.68048835
matchup_efficiency,3.1820388,4.7729473,0.6666821
away_comp_rush_ppa,0.041840095,0.067552514,0.6193714
home_short_rest,0.00027550088,0.0004492494,0.6132469
away_comp_epa,0.0,0.0,0.0
home_comp_ypp,0.0,0.0,0.0
away_comp_ypp,0.0,0.0,0.0
west_coast_early,0.0,0.0,0.0
away_comp_success,0.0,0.0,0.0
home_comp_success,0.0,0.0,0.0
success_rate_diff,0.0,0.0,0.0
away_lookahead,0.0,0.0,0.0
dominant_home,0.0,0.0,0.0
dominant_away,0.0,0.0,0.0
home_lookahead,0.0,0.0,0.0
home_comp_epa,0.0,0.0,0.0
